,product_details,cost,barcode
151,Hit 125ml,75,8901157025255
152,Harpic 500ml,105,8901396165217
153,Parachute oil 100ml,37,89002940
154,Colin 250ml,69,8901396465003
155,Parachute oil 50ml,20,8901088213004
156,Harpic 250ml,57,8901396183501
157,Harpic red 500ml,110,8901396153108
158,Harpic red 200ml,49,8901396152200
159,Parachute oil 25ml,10,89007426
160,Parachute oil 600ml,229,8901088102872
161,Revive liquid  95g,38,8901088206303
162,Parachute oil 250ml,92,8901088047142
163,Parachute aloe vera 250ml,130,8901088080293
164,Rin liquid 800ml,130,8901030943034
165,Meera oil  175ml,65,8902979026239
166,Krupa oil 1L,210,8906035030246
167,Aswini oil 180ml,146,8908000498969
168,Parachute ayurvedic 180ml,118,8901088207546
169,AASHIRVAAD 1kg,69,8901725121747
170,Dabur red gel 40g,20,8901207040177
171,Colgate maxfresh,20,8901314798022
172,Dabur red,10,8901207046438
173,Dabur red 100g,70,8901207047190
174,Colgate maxfresh 80g,68,8901314695543
175,Closeup,10,3948030901904
176,Colgate strong 100g,69,8901314765352
177,Dabur red paste37g,20,8901207046445
178,Dabur red 100g,70,8901207027253
179,Closeup 100g,60,8901030894183
180,Colgate salt 100g,73,8901314009586
181,Colgate salt,20,8901314763686
182,Sensodyne fresh gel,85,8901571004089
183,Sensodyne fresh mint,85,8901571004102
184,Sensodyne rapid relief 80g,190,8901571004836
185,Colgate maxfresh,20,8901314798022
186,Closeup,20,8901030970450
187,Vim 110g,10,8901030976353
188,Chicken masala 500g,250,8904246934179
189,Kotthas ragi flour 500g,55,5670129030094
190,Aashirvaad chilli powder 500g,250,8901725125172
191,Anushri mangaldeep,2,8901725715113
192,Kotthas thite thill 100g,60,5670129016241
193,Kotthas Kum Kum,5,5670129015114
194,Wipro baby soft feeding bottle 125ml,80,8901399008030
195,GRB Ghee 50ml,55,8906010366872
196,Priya Coriander powder500g,175,785018083312
197,Wipro baby soft feeding bottle250ml,90,8901399008047
198,Priya meat masala 500g,300,8904246934186
199,Priya chilli powder 500g,240,8904246930119
200,Moov20g,99,8901396389460
201,GRB Ghee200ml,180,8906010360085
202,LG inguva 100g,92,840222000149
203,Babu pure ghee 50ml,49,8924455656334
204,Kotthas ginger pickle 200g,55,7674729017088
205,Dettol 60ml,37,8901396350101
206,Kotthas avakaya pickle 200g,55,5670129017125
207,Saffola honey 250g,99,8901088069076
208,Dettol250ml,141,8901396350309
209,Kotthas avakaya pickle 500g,120,5670129017132
210,Dettol 125ml,73,8901396350200
211,Bambino hing5g,10,8901242508403
212,GRB ghee 200ml,180,8906010366896
213,Kothas turmeric powder 4gm,01,5670129010744
214,Kotthas black thill 100g,40,5670129016210
215,Kotthas ragi flour 100g,15,5670129015893
216,Kothas black thill250g,135,5670129016227
217,Zandu balm 8g,44,8901248701105
218,Godrej hair powder,20,8901023029370
219,ENO 5g,10,8901571006885
220,Dabur honey 50g,42,8901207045370
221,Wipro baby soft nipple,27,8901399064517
222,Godrej rich creme,15,8901023028748
223,GRB Ghee 50ml,55,8906010360054
224,Sabena dish wash powder 800g+100g extra,30,8901523111407
225,Active wheel 2in1 500g,38,8901030641657
226,Active wheel 2in1 1kg,76,8901030641633
227,Ariel 500g,97,4987176108630
228,Rin 500g,60,8901030737091
229,Tide 500g,74,4987176068897
230,Tide 1kg,158,4987176115065
231,Rin bright 1kg,122,8901030833977
232,Surf Excel 500g,110,8901030814150
233,Surf Excel 65g,10,8901030907005
234,Surf Excel liquid front load50ml,10,8901030965234
235,Surf Excel liquid top load 50ml,10,8901030965227
236,Ariel 45+20g,10,4987176223029
237,Rin 95g,10,8901030899966
238,Surf Excel quick wash65g,10,8901030907005
239,XXX matic liquid 75ml,10,8906056351030
240,Clear anti-drandruff,2,8901030868542
241,Head& shoulder,2,4902430729291
242,Kotthas cashew,10,5670129016975
243,Dove,2,8901030899768
244,Kotthas jeera,10,5670129016975
245,Head & shoulder,2,4902430829847
246,Dove,2,8901030962646
247,Dove,2,8901030959103
248,Meera,2,8902979029025
249,Kotthas raisen,10,5670129016975
250,Sunsilk,1,8901030898457
251,Meera,2,8902979023092
252,Head & shoulder,2,4987176230768
253,Kotthas mustard mix,10,5670129016975
254,50p,,8902979000710
255,EXO Bactoscrub,10,8902102164036
256,Kotthas menthi,10,5670129016975
257,Vasmol Ayurprash,20,8901247578883
258,Kotthas pepper,10,5670129016975
259,Ponds bright beauty,10,8901030877032
260,Kotthas cloves,10,5670129016975
261,Vim scrub easy,10,8901030885556
262,MTR biriyani masala,12,8901042970967
263,MTR lemon rice,15,8901042969480
264,Indica easy shampoo 18ml,30,8902979027137
265,Godrej rich creme,37,8901023019876
266,MTR tomato rice powder 25g,15,8901042969503
267,MTR puliogare powder27g,12,8901042970493
268,Horlicks20g,5,8901030824128
269,Boost17g,5,8901030824227
270,Everyday15g,10,8901058003802
271,Comfort,4,8901030865909
272,Laser ready razor,10,8901106111480
273,Fevikwik450mg,5,8901860010005
274,Twinz mango candy17g,5,8906071888726
275,Moov4g,15,8901177105203
276,Hit 1N,16,8901157028003
277,Poppy seeds 25g,90,5670129016180
278,Clinic plus,1,8901030950933
279,Dairy milk fruit &nut,45,7622201150181
280,Dairy milk,10,8901233030548
281,Dairy milk 23g,20,7622202398698
282,KitKat,10,8901058005233
283,Perk,5,7622201758639
284,Bingo tomato chips,5,8901725015220
285,Sunfeast bounce,5,8901725015480
286,Bingo tomato &chilli,05,8901725015268
287,Colgate junior,15,8901314542045
288,Sensitive+Ajay,40,8908003630083
289,Colgate super flexi,20,8901314200044
290,Colgate slim soft,170,8901314517999
291,Colgate gentle,60,8901314544964
292,Colgate zig zag,30,8901314507327
293,Fantastic,5,8901725009533
294,Pepsodent 6in1,20,8901030961373
295,Colgate extra,20,8901390307316
296,7hills cleaning acid500ml,65,8901725009533
297,Ajay flexo jr,12,8908003630106
298,Exo safai,10,8902102164173
299,Lyxtar floor cleaner 1000ml,80,9199566279126
300,Freedom refined sunflower oil5L,720,8906035030239
301,Laser stainless blades,12,8901106101016
302,Natraj 1L,146,8906061280110
303,Batteries,17,8901691021195
304,Freedom 1L,139,8906035030055
305,Ruchi gold 1L,125,8906032010012
306,Natraj 500ml,74,8906061280134
307,Ghee batti30N,139,8943078553103
308,Freedom 15L,1985,8906035030062
309,Ponds powder,10,8901030945946
310,Deer Dall 500g,80,8908004431122
311,High power cockroach anti killer,25,8906004350016
312,Bingo masala potato chips,5,8901725015244
313,Bingo cream & onion,5,8901725015213
314,Bingo chilli potato chips,5,8901725015251
315,Bingo salt,10,8901725007096
316,Bingo chilli,10,8901725007102
317,VKS Trusalt 1kg,25,8902988000091
318,VKS iodised crystal salt1kg,22,8908007390051
319,Aachi black pepper,10,8906021122436
320,8906085360331 <This message was edited>,90,
321,SS karpooram,45,8906085360317
322,SDL karpooram,45,8803514169018
323,Mentho plus balm,2,8901248226127
324,Fevi stik,15,8901860633501
325,Fevi gum,5,8901860633037
326,Fevi gum,5,8901860633044
327,Fevicol,10,8901860630241
328,Kangaro punch,78,8901057202800
329,Nataraj colour pencils,20,8901324401097
330,DOMS super dark,60,8908004279403
331,Apsara platinum,60,8901324055795
332,Tata copper water bottle 1L,20,8903754000062
333,ORSL,42,8901012350010
334,Thumps up 2.25L,100,8901764042904
335,Appy fizz,10,8902579002442
336,Thumps up1.25L,68,8901764042805
337,Thums up 250ml,20,8901764042911
338,Slice 350ml,20,8902080404179
339,Sprite 250ml,20,8901764032912
340,Bindu 250ml,20,8908000589254
341,Thumsup 300ml,40,8901764041259
342,Pista badam milk 200ml,30,8904089927369
343,PREDATOR ENERGY 300ml,60,4897036693469
344,AASHIRVAAD Vermicelli 850g,89,8901725118846
345,Thumsup 600ml,40,8901764042706
346,AASHIRVAAD Vermicelli 400g,59,8901725118808
347,Sprite 600ml,40,8901764032707
348,Bambino nutraawell vermicelli 400g,45,8904287001045
349,Limca250ml,20,8901764052910
350,Bambino nutrawell vermicelli 500g,50,8904287000178
351,Agarwal vermicelli 100g,12,8908019154054
352,Brooke bond  Red Label natural care 250g,155,8901030876950
353,Brooke bond Red Label natural care 100g,55,8901030877117
354,TvTv tea Gemini 250g,135,8901052021383
355,Priya ginger garlic paste 200g,49,785018086917
356,Colour 250ml,20,8901764382130
