,product_details,cost,barcode,discount,in_stock,wholesale_cost
119,Kotthas pepper 50g,75,5670129016098,0,25,11
120,Aashirvaad chilli pwd 50,25,8901725125134,0,25,11
121,Aashirvaad turmeric powder 100g,36,8901725125349,0,25,11
122,Priya chilli powder,5,8904246930003,0,25,11
123,Aashirvaad chilli pwd 100g,50,8901725125141,0,25,11
124,Kotthas coriander powder 50g,20,5670129015169,0,25,11
125,Aachi fish fry masala,10,8906021121101,0,25,11
126,Priya coriander pwd 100g,35,8904246930072,0,25,11
127,Aachi sambar masala,5,8906021122597,0,25,11
128,Gemini 100g,55,8901052021482,0,25,11
129,Agarwal macaroni 500g,60,8908019154078,0,25,11
130,Taj Mahal 100g,95,8901030656026,0,25,11
131,Priya ginger garlic paste 500g,100,8904246913433,0,25,11
132,Bambino macaroni 850g,109,8904287001298,0,25,11
133,Aachi pepper powder,10,8906021122436,0,25,11
134,Kotthas sambar 10g,5,5670129030124,0,25,11
135,Aachi coriander powder 59g,18,8906021120661,0,25,11
136,Kotthas appalam 100g,30,5670129016586,0,25,11
137,Gemini,10,8901052003891,0,25,11
138,Pampers 2p L,30,4987176071347,0,25,11
139,Pampers 2p M,25,4987176071385,0,25,11
140,Pampers 2p S,20,4987176071323,0,25,11
141,Ariel liquid top 1L,195,4987176126641,0,25,11
142,Ariel liquid top 500ml,123,4987176143822,0,25,11
143,Surf excel liquid top 500ml,120,8901030965272,0,25,11
144,Lizol 500ml,110,8901396117407,0,25,11
145,Lizol 500ml,140,8901396146902,0,25,11
146,Surf excel top 1L,190,8901030962295,0,25,11
147,Lizol 200ml,42,8901396147008,0,25,11
148,Lizol 200ml,42,8901396146001,0,25,11
149,Vim 250ml,55,8901030962776,0,25,11
150,Vatika hair oil 300ml,180,8901207038495,0,25,11
151,Hit 125ml,75,8901157025255,0,25,11
152,Harpic 500ml,105,8901396165217,0,25,11
153,Parachute oil 100ml,37,89002940,0,25,11
154,Colin 250ml,69,8901396465003,0,25,11
155,Parachute oil 50ml,20,8901088213004,0,25,11
156,Harpic 250ml,57,8901396183501,0,25,11
157,Harpic red 500ml,110,8901396153108,0,25,11
158,Harpic red 200ml,49,8901396152200,0,25,11
159,Parachute oil 25ml,10,89007426,0,25,11
160,Parachute oil 600ml,229,8901088102872,0,25,11
161,Revive liquid  95g,38,8901088206303,0,25,11
162,Parachute oil 250ml,92,8901088047142,0,25,11
163,Parachute aloe vera 250ml,130,8901088080293,0,25,11
164,Rin liquid 800ml,130,8901030943034,0,25,11
165,Meera oil  175ml,65,8902979026239,0,25,11
166,Krupa oil 1L,210,8906035030246,0,25,11
167,Aswini oil 180ml,146,8908000498969,0,25,11
168,Parachute ayurvedic 180ml,118,8901088207546,0,25,11
169,AASHIRVAAD 1kg,69,8901725121747,0,25,11
170,Dabur red gel 40g,20,8901207040177,0,25,11
171,Colgate maxfresh,20,8901314798022,0,25,11
172,Dabur red,10,8901207046438,0,25,11
173,Dabur red 100g,70,8901207047190,0,25,11
174,Colgate maxfresh 80g,68,8901314695543,0,25,11
175,Closeup,10,3948030901904,0,25,11
176,Colgate strong 100g,69,8901314765352,0,25,11
177,Dabur red paste37g,20,8901207046445,0,25,11
178,Dabur red 100g,70,8901207027253,0,25,11
179,Closeup 100g,60,8901030894183,0,25,11
180,Colgate salt 100g,73,8901314009586,0,25,11
181,Colgate salt,20,8901314763686,0,25,11
182,Sensodyne fresh gel,85,8901571004089,0,25,11
183,Sensodyne fresh mint,85,8901571004102,0,25,11
184,Sensodyne rapid relief 80g,190,8901571004836,0,25,11
185,Colgate maxfresh,20,8901314798022,0,25,11
186,Closeup,20,8901030970450,0,25,11
187,Vim 110g,10,8901030976353,0,25,11
188,Chicken masala 500g,250,8904246934179,0,25,11
189,Kotthas ragi flour 500g,55,5670129030094,0,25,11
190,Aashirvaad chilli powder 500g,250,8901725125172,0,25,11
191,Anushri mangaldeep,2,8901725715113,0,25,11
192,Kotthas thite thill 100g,60,5670129016241,0,25,11
193,Kotthas Kum Kum,5,5670129015114,0,25,11
194,Wipro baby soft feeding bottle 125ml,80,8901399008030,0,25,11
195,GRB Ghee 50ml,55,8906010366872,0,25,11
196,Priya Coriander powder500g,175,785018083312,0,25,11
197,Wipro baby soft feeding bottle250ml,90,8901399008047,0,25,11
198,Priya meat masala 500g,300,8904246934186,0,25,11
199,Priya chilli powder 500g,240,8904246930119,0,25,11
200,Moov20g,99,8901396389460,0,25,11
201,GRB Ghee200ml,180,8906010360085,0,25,11
202,LG inguva 100g,92,840222000149,0,25,11
203,Babu pure ghee 50ml,49,8924455656334,0,25,11
204,Kotthas ginger pickle 200g,55,7674729017088,0,25,11
205,Dettol 60ml,37,8901396350101,0,25,11
206,Kotthas avakaya pickle 200g,55,5670129017125,0,25,11
207,Saffola honey 250g,99,8901088069076,0,25,11
208,Dettol250ml,141,8901396350309,0,25,11
209,Kotthas avakaya pickle 500g,120,5670129017132,0,25,11
210,Dettol 125ml,73,8901396350200,0,25,11
211,Bambino hing5g,10,8901242508403,0,25,11
212,GRB ghee 200ml,180,8906010366896,0,25,11
213,Kothas turmeric powder 4gm,1,5670129010744,0,25,11
214,Kotthas black thill 100g,40,5670129016210,0,25,11
215,Kotthas ragi flour 100g,15,5670129015893,0,25,11
216,Kothas black thill250g,135,5670129016227,0,25,11
217,Zandu balm 8g,44,8901248701105,0,25,11
218,Godrej hair powder,20,8901023029370,0,25,11
219,ENO 5g,10,8901571006885,0,25,11
220,Dabur honey 50g,42,8901207045370,0,25,11
221,Wipro babysoft nipple,27,8901399064517,0,25,11
222,Godrej rich creme,15,8901023028748,0,25,11
223,GRB Ghee 50ml,55,8906010360054,0,25,11
224,Sabena dshwsh 800+100g,30,8901523111407,0,25,11
225,Active wheel 2in1 500g,38,8901030641657,0,25,11
226,Active wheel 2in1 1kg,76,8901030641633,0,25,11
227,Ariel 500g,97,4987176108630,0,25,11
228,Rin 500g,60,8901030737091,0,25,11
229,Tide 500g,74,4987176068897,0,25,11
230,Tide 1kg,158,4987176115065,0,25,11
231,Rin bright 1kg,122,8901030833977,0,25,11
232,Surf Excel 500g,110,8901030814150,0,25,11
233,Surf Excel 65g,10,8901030907005,0,25,11
234,Surfxl f_load50ml,10,8901030965234,0,25,11
235,Surfxl t_load50ml,10,8901030965227,0,25,11
236,Ariel 45+20g,10,4987176223029,0,25,11
237,Rin 95g,10,8901030899966,0,25,11
238,Surfxl qckwash65g,10,8901030907005,0,25,11
239,XXX liquid 75ml,10,8906056351030,0,25,11
240,Clear anti-drandruff,2,8901030868542,0,25,11
241,Head& shoulder,2,4902430729291,0,25,11
242,Kotthas cashew,10,5670129016975,0,25,11
243,Dove,2,8901030899768,0,25,11
244,Kotthas jeera,10,5670129016975,0,25,11
245,Head & shoulder,2,4902430829847,0,25,11
246,Dove,2,8901030962646,0,25,11
247,Dove,2,8901030959103,0,25,11
248,Meera,2,8902979029025,0,25,11
249,Kotthas raisen,10,5670129016975,0,25,11
250,Sunsilk,1,8901030898457,0,25,11
